,Code,nt,ns,nr,nC,nC',nHeNe,nD,nd,ne,nF,nF',ng,nh,ni,Vd,Ve,nFC,nF'c',A0,A1,A2,A3,A4,A5,PdC,Ped,PgF,P'dC',P'ed,P'gF',dPFe,dPgF,RC,RA,DW,DA,alpha1,alpha2,HK,FA,Density,Frequency,Price
H-FK61,497816,1.4901,1.49182,1.49407,1.49513,1.49543,1.49571,1.49694,1.497,1.49845,1.50123,1.50157,1.50449,1.50719,1.51173,81.61,81.2,0.00609,0.006139,2.22E+00,-4.94E-03,9.15E-03,-1.27E-04,2.82E-05,-1.32E-06,0.3054,0.2386,0.5355,0.2547,0.2368,0.4758,0.0108,0.0287,1,3,1,5,131,157,372,343,3.7,MA,83
H-FK71,457903,1.45072,1.45218,1.45406,1.45495,1.4552,1.45543,1.45645,1.4565,1.45771,1.46001,1.46029,1.4627,1.46492,1.46864,90.27,89.84,0.005057,0.005095,2.10E+00,-5.02E-03,6.53E-03,1.31E-04,-6.37E-06,1.93E-07,0.3065,0.2393,0.5317,0.2552,0.2374,0.4728,0.0143,0.0398,1,2,1,2,136,167,344,325,3.63,A,203
H-QK1,470669,1.46202,1.46427,1.46703,1.46829,1.46864,1.46897,1.4704,1.47047,1.47214,1.47533,1.47572,1.47907,1.48215,1.48736,66.88,66.72,0.007035,0.007077,2.14E+00,-8.94E-03,9.67E-03,-6.31E-05,2.63E-05,-1.27E-06,0.3099,0.2374,0.5316,0.2586,0.236,0.4734,0.0002,-0.0002,1,3,5,5,73,85,374,83,2.3,B,64
H-QK3L,487704,1.47913,1.48137,1.48411,1.48535,1.48569,1.48601,1.48743,1.48749,1.48914,1.49227,1.49266,1.49594,1.49894,1.50401,70.44,70.24,0.006921,0.006964,2.19E+00,-9.69E-03,9.15E-03,6.47E-05,9.19E-06,-4.71E-07,0.3091,0.2387,0.53,0.2579,0.2372,0.4707,0.0008,0.0042,1,3,2,4,92,102,520,93,2.43,MA,19
K4A,508611,1.49825,1.50079,1.50398,1.50546,1.50587,1.50625,1.50795,1.50802,1.51,1.51378,1.51425,1.51825,1.52195,1.52827,61.05,60.87,0.008321,0.008378,2.24E+00,-8.92E-03,1.26E-02,-2.99E-04,5.96E-05,-2.59E-06,0.3077,0.238,0.5372,0.2566,0.2363,0.4774,-0.0021,-0.0045,1,3,1,2,47,52,524,65,2.43,C,41
H-K1,500621,1.49047,1.49282,1.49581,1.49722,1.49761,1.49797,1.4996,1.49967,1.50159,1.50527,1.50572,1.50961,1.51321,1.51935,62.07,61.85,0.00805,0.00811,2.22E+00,-8.54E-03,1.04E-02,2.73E-04,-1.59E-05,9.73E-07,0.3043,0.2385,0.5391,0.254,0.2367,0.4797,0.0013,-0.0009,2,1,2,1,87,104,440,91,2.47,C,64
H-K2,500660,1.49143,1.49383,1.49678,1.49813,1.4985,1.49885,1.5004,1.50047,1.50228,1.50571,1.50613,1.50972,1.51302,1.51861,66.02,65.85,0.00758,0.007628,2.23E+00,-1.01E-02,9.55E-03,3.10E-04,-2.84E-05,1.64E-06,0.3091,0.2383,0.5286,0.2576,0.2368,0.4702,-0.0011,-0.0046,1,1,2,1,55,65,534,83,2.42,C,31
H-K3,505647,1.49528,1.49778,1.50083,1.50222,1.50261,1.50297,1.50456,1.50463,1.50649,1.51002,1.51045,1.51416,1.51759,1.5234,64.72,64.55,0.007797,0.007846,2.24E+00,-1.01E-02,1.09E-02,-5.77E-05,2.69E-05,-1.16E-06,0.3091,0.2386,0.5315,0.2575,0.2371,0.4734,-0.0016,-0.004,2,3,3,4,58,70,548,81,2.4,C,36
H-K5,510634,1.50069,1.50312,1.50618,1.5076,1.508,1.50837,1.51,1.51007,1.51199,1.51565,1.51611,1.51999,1.52356,1.52962,63.36,63.13,0.00805,0.00811,2.25E+00,-8.94E-03,1.14E-02,-7.33E-05,3.50E-05,-1.80E-06,0.3068,0.2384,0.539,0.2552,0.2366,0.4783,-0.0005,0.0012,3,1,3,1,75,89,487,84,2.47,C,35
H-K6,511605,1.50152,1.50394,1.50707,1.50855,1.50896,1.50934,1.51105,1.51112,1.51314,1.517,1.51748,1.52159,1.5254,1.53188,60.46,60.21,0.008454,0.008523,2.25E+00,-7.59E-03,1.26E-02,-2.29E-04,5.80E-05,-2.84E-06,0.304,0.2389,0.5427,0.2534,0.237,0.482,0,0,3,1,2,1,85,99,464,88,2.53,C,35
H-K7,515606,1.50513,1.50754,1.5107,1.51218,1.51259,1.51298,1.5147,1.51478,1.51681,1.52067,1.52116,1.52528,1.5291,1.53561,60.63,60.33,0.00849,0.008566,2.26E+00,-6.94E-03,1.34E-02,-4.06E-04,7.64E-05,-3.52E-06,0.3062,0.2391,0.5432,0.2557,0.237,0.4812,-0.0019,0.0008,3,1,1,1,85,100,468,85,2.54,C,30
H-K8,516568,1.50586,1.50839,1.51169,1.51326,1.5137,1.51411,1.51594,1.51602,1.51818,1.52235,1.52286,1.52731,1.53144,1.53853,56.79,56.57,0.009086,0.00916,2.26E+00,-7.71E-03,1.30E-02,-3.10E-05,3.17E-05,-1.27E-06,0.3038,0.2377,0.5459,0.2533,0.2358,0.4858,0.0003,-0.0031,3,1,2,1,87,97,435,75,2.58,C,29
H-K9L,517642,1.50736,1.50983,1.51289,1.51432,1.51472,1.51509,1.51673,1.5168,1.51872,1.52237,1.52282,1.52667,1.53022,1.53626,64.2,64,0.00805,0.008105,2.27E+00,-9.92E-03,1.04E-02,3.12E-04,-2.65E-05,1.65E-06,0.308,0.2387,0.5341,0.2569,0.2371,0.475,-0.0014,-0.0023,1,1,3,1,76,95,595,100,2.52,MA,10
H-K9LGT,517642,1.50736,1.50983,1.51289,1.51432,1.51472,1.51509,1.51673,1.5168,1.51872,1.52237,1.52282,1.52667,1.53022,1.53626,64.2,64,0.00805,0.008105,2.27E+00,-9.92E-03,1.04E-02,3.12E-04,-2.65E-05,1.65E-06,0.308,0.2387,0.5341,0.2569,0.2371,0.475,-0.0014,-0.0023,1,1,3,1,76,95,595,100,2.52,MA,10
H-K10,518590,1.50826,1.51073,1.51397,1.51549,1.51592,1.51632,1.5181,1.51818,1.52027,1.52428,1.52479,1.52909,1.53308,1.53991,58.95,58.69,0.00879,0.008865,2.27E+00,-6.86E-03,1.41E-02,-4.98E-04,9.51E-05,-4.51E-06,0.3055,0.2379,0.5466,0.2548,0.2359,0.4845,-0.0008,-0.0013,3,1,3,1,90,108,456,78,2.5,B,26
H-K11,526602,1.51652,1.51898,1.5222,1.52371,1.52414,1.52454,1.5263,1.52638,1.52847,1.53246,1.53296,1.53721,1.54116,1.5479,60.16,59.9,0.00875,0.008823,2.30E+00,-7.53E-03,1.30E-02,-1.43E-04,4.31E-05,-1.86E-06,0.3051,0.2389,0.5429,0.2539,0.2369,0.4817,-0.0009,-0.0004,3,1,2,1,94,110,510,90,2.69,C,26
H-K12,534555,1.52296,1.52558,1.52903,1.53068,1.53114,1.53157,1.5335,1.53359,1.53588,1.5403,1.54085,1.54558,1.54998,1.55756,55.47,55.17,0.009619,0.009713,2.32E+00,-8.27E-03,1.30E-02,2.69E-04,-5.46E-06,6.24E-07,0.3025,0.2381,0.5489,0.2522,0.2358,0.487,0.0001,-0.0023,4,1,2,1,92,107,462,85,2.72,C,27
H-K50,522595,1.51254,1.51505,1.51829,1.51982,1.52024,1.52064,1.52241,1.52249,1.52458,1.5286,1.5291,1.53339,1.53739,1.54422,59.48,59.22,0.008784,0.008858,2.28E+00,-8.00E-03,1.31E-02,-2.24E-04,6.16E-05,-2.94E-06,0.3043,0.2384,0.5455,0.2537,0.2364,0.4845,0.0001,0.0011,3,1,2,3,79,96,537,81,2.52,B,13
H-K51,523586,1.51305,1.51558,1.51883,1.52037,1.5208,1.5212,1.52299,1.52307,1.5252,1.52929,1.5298,1.53415,1.5382,1.54509,58.64,58.36,0.00892,0.009,2.29E+00,-8.97E-03,1.15E-02,3.08E-04,-7.94E-06,2.92E-07,0.3027,0.2388,0.5448,0.2522,0.2367,0.4833,0.0008,-0.001,2,1,2,1,80,99,541,82,2.53,A,12
H-BaK1,530605,1.52035,1.52286,1.52608,1.52761,1.52803,1.52843,1.5302,1.53028,1.53237,1.53638,1.53688,1.54114,1.54509,1.55181,60.47,60.17,0.00877,0.008847,2.31E+00,-8.73E-03,1.20E-02,1.60E-04,7.00E-06,-3.34E-07,0.3046,0.2381,0.5429,0.2542,0.236,0.4816,0.0006,0.0002,1,1,1,1,73,90,486,85,2.74,B,47
H-BaK2,540597,1.52978,1.53232,1.53564,1.53721,1.53765,1.53806,1.53988,1.53996,1.54212,1.54625,1.54677,1.55117,1.55526,1.56224,59.72,59.45,0.009041,0.00912,2.34E+00,-7.88E-03,1.35E-02,-1.42E-04,4.62E-05,-2.08E-06,0.304,0.2384,0.5444,0.2535,0.2364,0.4827,0.0005,0.0004,1,2,1,1,80,94,540,87,2.84,A,15
H-BaK3,547628,1.53666,1.53927,1.54257,1.54411,1.54453,1.54493,1.5467,1.54678,1.54886,1.55282,1.55332,1.5575,1.56137,1.56791,62.78,62.44,0.00871,0.00879,2.36E+00,-9.51E-03,1.28E-02,-8.29E-05,3.56E-05,-1.74E-06,0.3065,0.2388,0.5374,0.256,0.2366,0.4757,-0.0008,-0.0014,1,3,1,2,62,80,530,,2.84,B,25
H-BaK4,552634,1.54234,1.54498,1.54828,1.54981,1.55023,1.55063,1.5524,1.55248,1.55456,1.55853,1.55902,1.5632,1.56705,1.57358,63.37,63.1,0.008719,0.008788,2.38E+00,-1.12E-02,1.08E-02,5.37E-04,-4.86E-05,2.43E-06,0.3062,0.2386,0.5356,0.256,0.2367,0.4756,0.0002,-0.0022,1,2,3,3,61,76,550,108,2.9,B,22
H-BaK5,561583,1.54997,1.55262,1.55611,1.55777,1.55823,1.55867,1.5606,1.56069,1.56298,1.56738,1.56793,1.57262,1.57697,1.5844,58.34,58.07,0.00961,0.009694,2.40E+00,-8.14E-03,1.42E-02,-1.32E-05,3.09E-05,-1.33E-06,0.3037,0.2384,0.5453,0.2531,0.2363,0.4839,0.0001,-0.001,1,1,1,2,76,88,542,106,3.01,B,21
H-BaK6,564608,1.55333,1.55597,1.55943,1.56105,1.5615,1.56192,1.5638,1.56388,1.5661,1.57033,1.57086,1.57535,1.57952,1.58633,60.76,60.5,0.00928,0.009357,2.40E+00,-6.89E-03,1.71E-02,-1.19E-03,2.11E-04,-1.19E-05,0.305,0.2392,0.5409,0.2544,0.2373,0.4799,-0.0007,-0.0013,1,3,1,2,60,77,506,107,3.05,A,16
H-BaK7,569560,1.55753,1.56031,1.564,1.56575,1.56624,1.5667,1.56874,1.56883,1.57125,1.5759,1.57648,1.58148,1.58615,1.59418,56.04,55.78,0.01015,0.010242,2.42E+00,-7.63E-03,1.66E-02,-5.21E-04,1.06E-04,-4.86E-06,0.3034,0.2384,0.545,0.2529,0.2363,0.4884,-0.001,-0.0003,1,1,1,1,72,90,578,117,2.83,MA,9
H-BaK8,573575,1.56148,1.5642,1.56778,1.56948,1.56996,1.57041,1.57241,1.5725,1.57487,1.57944,1.58001,1.58488,1.58941,1.59715,57.49,57.2,0.009959,0.010051,2.43E+00,-8.73E-03,1.39E-02,2.39E-04,1.03E-06,1.02E-07,0.3028,0.2382,0.5462,0.2524,0.236,0.4845,0.0007,-0.0016,1,3,1,2,74,89,530,112,3.18,A,17
H-ZK1,569630,1.55835,1.56109,1.56452,1.56611,1.56655,1.56697,1.5688,1.56888,1.57104,1.57515,1.57566,1.58,1.58402,1.59084,62.96,62.74,0.009036,0.009102,2.43E+00,-1.08E-02,1.28E-02,9.25E-05,1.34E-05,-5.39E-07,0.3066,0.239,0.5367,0.256,0.2373,0.4768,-0.0007,-0.0017,2,3,3,4,61,75,534,116,3.06,C,24
H-ZK2,583595,1.57206,1.57485,1.57845,1.58015,1.58062,1.58107,1.58304,1.58313,1.58547,1.58996,1.59052,1.59528,1.5997,1.60722,59.46,59.19,0.009807,0.009892,2.47E+00,-1.02E-02,1.34E-02,3.29E-04,-1.22E-05,6.59E-07,0.3038,0.2387,0.5426,0.2537,0.2367,0.4813,0.0006,-0.0019,1,3,1,6,61,78,559,114,3.24,C,18
H-ZK3,589613,1.57815,1.58094,1.58451,1.58619,1.58666,1.5871,1.58904,1.58913,1.59142,1.59581,1.59635,1.601,1.60528,1.61258,61.25,61.01,0.009618,0.009694,2.49E+00,-1.04E-02,1.33E-02,3.19E-04,-1.89E-05,1.19E-06,0.3058,0.2385,0.5396,0.255,0.2367,0.4797,-0.0006,-0.0018,1,3,2,3,52,71,615,113,3.26,MA,8
H-ZK4,609589,1.59727,1.60012,1.60388,1.60567,1.60617,1.60663,1.60872,1.60881,1.61128,1.61601,1.6166,1.62163,1.6263,1.63426,58.86,58.57,0.010344,0.010437,2.54E+00,-8.83E-03,1.59E-02,-5.14E-05,3.62E-05,-1.50E-06,0.3036,0.2388,0.5437,0.2529,0.2367,0.4823,-0.0003,-0.0018,1,3,1,3,63,79,516,127,3.53,B,23
H-ZK5,611558,1.59921,1.60206,1.60597,1.60785,1.60838,1.60887,1.61107,1.61117,1.61378,1.61881,1.61944,1.62479,1.62984,1.63844,55.77,55.5,0.010958,0.01106,2.54E+00,-5.76E-03,1.96E-02,-8.13E-04,1.38E-04,-6.17E-06,0.3026,0.2383,0.5457,0.2522,0.2361,0.4837,-0.0001,-0.005,1,3,1,6,86,99,521,169,3.58,C,26
H-ZK6,613586,1.60103,1.60394,1.60774,1.60954,1.61005,1.61052,1.61262,1.61272,1.61521,1.62,1.6206,1.6257,1.63044,1.63853,58.58,58.3,0.01046,0.010552,2.56E+00,-9.79E-03,1.54E-02,1.30E-04,1.76E-05,-7.13E-07,0.3037,0.2384,0.5449,0.2532,0.2364,0.4833,0.0001,-0.001,1,3,2,3,63,79,516,126,3.54,A,13
H-ZK7,613606,1.60161,1.60452,1.60825,1.61001,1.6105,1.61096,1.613,1.61309,1.61551,1.62013,1.6207,1.62558,1.6301,1.63778,60.58,60.34,0.01012,0.010201,2.56E+00,-1.09E-02,1.41E-02,3.79E-04,-2.42E-05,1.42E-06,0.3047,0.2386,0.5384,0.2542,0.2367,0.4783,0,-0.0041,1,3,3,6,61,80,560,159,3.51,A,8
H-ZK8,614551,1.60192,1.60484,1.60879,1.61068,1.61121,1.61171,1.61395,1.61405,1.6167,1.62182,1.62246,1.62796,1.63309,1.64189,55.12,54.84,0.011141,0.011246,2.56E+00,-7.66E-03,1.76E-02,-2.05E-04,6.81E-05,-3.07E-06,0.3024,0.2379,0.551,0.2525,0.2356,0.489,0,-0.0008,1,3,1,6,86,98,600,173,3.58,B,21
H-ZK9B,620603,1.60868,1.61164,1.61547,1.61727,1.61777,1.61824,1.62032,1.62041,1.62286,1.62755,1.62813,1.63312,1.63775,1.64563,60.34,60.1,0.010281,0.010363,2.58E+00,-9.59E-03,1.72E-02,-5.08E-04,1.01E-04,-4.80E-06,0.3054,0.2383,0.5417,0.2547,0.2364,0.4814,-0.0006,-0.0013,1,3,3,4,62,77,574,145,3.58,MA,8
H-ZK10,622567,1.60996,1.61294,1.61689,1.61877,1.61929,1.61979,1.622,1.6221,1.6247,1.62974,1.63037,1.63575,1.64075,1.64922,56.71,56.38,0.01097,0.01108,2.58E+00,-8.73E-03,1.76E-02,-3.08E-04,8.88E-05,-4.74E-06,0.3034,0.2375,0.5479,0.2531,0.2351,0.4856,0.0005,-0.0012,1,3,1,3,65,75,598,139,3.63,B,14
H-ZK10L,623569,,,1.6176,1.61949,1.62001,1.62051,1.6227,1.6228,1.62541,1.63043,1.63106,1.63644,1.64143,1.64999,56.91,56.62,0.010943,0.011045,2.60E+00,-1.77E-02,1.11E-02,1.32E-03,-1.08E-04,4.55E-06,0.3025,0.2385,0.5492,0.2526,0.2363,0.4871,0.0001,0.0004,1,3,1,3,65,75,598,134,3.63,MA,14
H-ZK11,639555,1.62582,1.62895,1.63309,1.63505,1.63561,1.63613,1.63844,1.63854,1.64129,1.64657,1.64723,1.6529,1.65819,1.66735,55.45,55.18,0.011516,0.011621,2.64E+00,-1.02E-02,1.70E-02,2.14E-04,7.44E-06,4.36E-07,0.303,0.2384,0.5497,0.2525,0.2362,0.4879,-0.0007,-0.0016,1,3,2,4,69,82,512,165,3.69,MA,8
H-ZK14,603606,1.59181,1.59466,1.59834,1.60007,1.60056,1.60101,1.60302,1.60311,1.60548,1.61003,1.61059,1.61537,1.61982,1.62738,60.6,60.35,0.009952,0.010033,2.53E+00,-1.02E-02,1.43E-02,2.53E-04,-1.30E-05,1.10E-06,0.3051,0.2385,0.5368,0.2544,0.2366,0.4766,-0.0002,-0.0057,3,3,2,4,61,75,581,135,3.44,MA,13
H-ZK20,617539,1.60485,1.60779,1.61181,1.61375,1.6143,1.61481,1.6171,1.6172,1.61993,1.6252,1.62586,1.63154,1.63685,1.64594,53.91,53.62,0.011448,0.011561,2.56E+00,-6.64E-03,1.91E-02,-5.21E-04,1.18E-04,-5.72E-06,0.3014,0.2385,0.5538,0.2508,0.2361,0.4913,0.0001,-0.0001,1,3,1,6,78,90,515,104,3.66,A,15
H-ZK21,623581,1.61095,1.61396,1.61788,1.61973,1.62025,1.62074,1.6229,1.62299,1.62555,1.63045,1.63106,1.63626,1.64109,1.64933,58.12,57.87,0.010719,0.010809,2.59E+00,-1.03E-02,1.59E-02,1.59E-04,8.98E-06,-9.77E-08,0.3046,0.2384,0.542,0.254,0.2364,0.4811,-0.001,-0.0047,1,3,2,4,62,75,581,134,3.56,MA,11
H-ZK50,607567,1.59559,1.59848,1.60231,1.60414,1.60465,1.60513,1.60729,1.60738,1.60994,1.61486,1.61547,1.62072,1.62558,1.63393,56.65,56.38,0.010721,0.010819,2.54E+00,-9.72E-03,1.44E-02,5.95E-04,-4.89E-05,2.81E-06,0.3022,0.2388,0.5466,0.2523,0.2366,0.4853,0.0002,-0.0026,1,3,1,5,68,77,511,105,3.54,A,15
H-LaK1,660574,1.64671,1.64986,1.65403,1.656,1.65656,1.65708,1.6594,1.6595,1.66224,1.6675,1.66816,1.67376,1.67896,1.68783,57.35,57.3,0.0115,0.011558,2.70E+00,-1.00E-02,1.81E-02,-2.16E-05,3.82E-05,-1.58E-06,0.3042,0.2378,0.5439,0.2543,0.2366,0.4841,-0.0004,-0.0041,1,3,3,6,77,87,560,176,3.94,B,38
H-LaK2A,692545,1.67813,1.68155,1.6861,1.68827,1.68888,1.68945,1.692,1.69211,1.69514,1.70096,1.70168,1.7079,1.71368,1.72358,54.54,54.29,0.01269,0.012804,2.81E+00,-1.10E-02,1.98E-02,1.43E-04,2.39E-05,-7.83E-07,0.3026,0.2388,0.5469,0.2523,0.2366,0.4858,-0.0013,-0.0059,1,3,3,3,80,97,535,159,3.94,C,31
H-LaK3,747510,1.73074,1.73471,1.73999,1.7425,1.7432,1.74386,1.7468,1.74693,1.75042,1.75716,1.75799,1.76518,1.77193,1.78336,50.95,50.72,0.01466,0.014794,2.98E+00,-1.23E-02,2.56E-02,-5.71E-04,1.48E-04,-7.55E-06,0.3023,0.2381,0.5471,0.2521,0.236,0.486,-0.0021,-0.0119,1,3,1,3,60,74,672,110,4.08,B,73
H-LaK4L,640602,1.62754,1.6308,1.63486,1.63674,1.63726,1.63775,1.6399,1.64,1.64254,1.64737,1.64797,1.65308,1.6578,1.66581,60.2,60,0.010631,0.010709,2.65E+00,-1.38E-02,1.57E-02,9.83E-05,2.21E-05,-1.07E-06,0.3068,0.2387,0.537,0.2559,0.2369,0.4771,-0.0023,-0.0062,1,3,4,4,60,78,634,129,2.99,A,34
H-LaK5A,678555,1.66434,1.66769,1.6721,1.6742,1.67479,1.67534,1.67779,1.6779,1.68081,1.68641,1.6871,1.69307,1.69862,1.7081,55.52,55.26,0.012211,0.012319,2.76E+00,-1.11E-02,1.90E-02,5.14E-05,3.64E-05,-1.56E-06,0.303,0.2383,0.5456,0.2525,0.2362,0.4848,-0.0008,-0.0056,1,3,3,6,80,94,576,174,3.8,MA,40
H-LaK6A,694534,1.67883,1.68255,1.68732,1.68955,1.69018,1.69077,1.69339,1.6935,1.6966,1.70256,1.7033,1.70969,1.71563,1.72583,53.38,53.16,0.012992,0.013105,2.81E+00,-1.48E-02,1.90E-02,3.37E-04,1.36E-05,-5.86E-07,0.3041,0.2384,0.5484,0.2536,0.2363,0.4872,-0.003,-0.0065,1,3,2,6,56,73,683,113,3.59,A,45
